State,Area Ranking,"Area (square miles, including water)","Area (square km, including water)"
Alaska,1,"663,267 sq mi","1,717,854 sq km"
Texas,2,"268,580 sq mi","695,621 sq km"
California,3,"163,695 sq mi","423,970 sq km"
Montana,4,"147,042 sq mi","380,838 sq km"
New Mexico,5,"121,589 sq mi","314,915 sq km"
Arizona,6,"113,998 sq mi","295,254 sq km"
Nevada,7,"110,560 sq mi","286,351 sq km"
Colorado,8,"104,093 sq mi","269,601 sq km"
Oregon,9,"98,380 sq mi","254,805 sq km"
Wyoming,10,"97,813 sq mi","253,336 sq km"
Michigan,11,"96,716 sq mi","250,494 sq km"
Minnesota,12,"86,938 sq mi","225,171 sq km"
Utah,13,"84,898 sq mi","219,887 sq km"
Idaho,14,"83,570 sq mi","216,446 sq km"
Kansas,15,"82,276 sq mi","213,096 sq km"
Nebraska,16,"77,358 sq mi","200,356 sq km"
South Dakota,17,"77,121 sq mi","199,742 sq km"
Washington,18,"71,300 sq mi","184,665 sq km"
North Dakota,19,"70,700 sq mi","183,112 sq km"
Oklahoma,20,"69,899 sq mi","181,035 sq km"
Missouri,21,"69,704 sq mi","180,533 sq km"
Florida,22,"65,755 sq mi","170,304 sq km"
Wisconsin,23,"65,498 sq mi","169,639 sq km"
Georgia,24,"59,425 sq mi","153,909 sq km"
Illinois,25,"57,914 sq mi","149,998 sq km"
Iowa,26,"56,271 sq mi","145,743 sq km"
New York,27,"54,556 sq mi","141,299 sq km"
North Carolina,28,"53,818 sq mi","139,389 sq km"
Arkansas,29,"53,179 sq mi","137,732 sq km"
Alabama,30,"52,419 sq mi","135,765 sq km"
Louisiana,31,"51,840 sq mi","134,264 sq km"
Mississippi,32,"48,431 sq mi","125,434 sq km"
Pennsylvania,33,"46,056 sq mi","119,283 sq km"
Ohio,34,"44,825 sq mi","116,096 sq km"
Virginia,35,"42,774 sq mi","110,785 sq km"
Tennessee,36,"42,144 sq mi","109,151 sq km"
Kentucky,37,"40,410 sq mi","104,659 sq km"
Indiana,38,"36,418 sq mi","94,321 sq km"
Maine,39,"35,385 sq mi","91,646 sq km"
South Carolina,40,"32,020 sq mi","82,932 sq km"
West Virginia,41,"24,230 sq mi","62,755 sq km"
Maryland,42,"12,407 sq mi","32,133 sq km"
Hawaii,43,"10,931 sq mi","28,311 sq km"
Massachusetts,44,"10,555 sq mi","27,336 sq km"
Vermont,45,"9,615 sq mi","24,901 sq km"
New Hampshire,46,"9,350 sq mi","24,216 sq km"
New Jersey,47,"8,722 sq mi","22,588 sq km"
Connecticut,48,"5,544 sq mi","14,357 sq km"
Delaware,49,"2,489 sq mi","6,447 sq km"
Rhode Island,50,"1,545 sq mi","4,002 sq km"
District of Columbia,51,68.25 sq mi,176.75 sq km
